record_id,title,primary_category,document_type,source_name,published_date,published_year,rating_score,popularity,content_length,title_length,engagement_score,estimated_value
432,Oklahoma Considers Using Aerial Photography to Assess Property Taxes Without Inspections,json,json,petapixel,,,1.84,184.0,184,88,29.44,5446.4
697,Advancing Novel Surrogate Endpoints For Rare Disease Drug Development Workshop - 05/18/2026,json,json,fda.gov,,,1.84,184.0,184,91,29.44,5446.4
143,Mind games: How football stars are fuelling chess boom,json,json,yahoo entertainment,,,1.83,183.0,183,54,29.28,5387.52
1,"Why EOS, Humm, New Hope, and Sims shares are storming higher today",news_api,news_api,motley fool australia,,,1.81,181.0,181,66,28.96,5270.72
693,Hackers steal and leak sensitive LAPD police documents | TechCrunch,json,json,techcrunch,,,1.72,172.0,172,67,27.52,4760.96
1201,"Nasdaq 100, S&P 500 finish at record on Intel’s blowout results",json,json,moneycontrol,,,1.72,172.0,172,63,27.52,4760.96
1204,US orders global warning over alleged AI theft by DeepSeek and Chinese firms,json,json,the indian express,,,1.72,172.0,172,76,27.52,4760.96
188,AI-Driven school expanding to major US cities despite union pushback,json,json,fox news,,,1.71,171.0,171,68,27.36,4705.92
441,JFE Engineering Corp invests ₹128 cr in 2 projects of Antony Waste Handling Cell in AP,json,json,businessline,,,1.71,171.0,171,86,27.36,4705.92
444,New Yorkers Like What They See From Mamdani So Far,json,json,new york magazine,,,1.57,157.0,157,50,25.12,3968.96
1214,Govt forms panel under SBI chief to assess risks from AI platform Mythos,json,json,businessline,,,1.55,155.0,155,72,24.8,3868.8
138,Here's How To Decipher The Different Grades Of Motor Oil,json,json,jalopnik,,,1.53,153.0,153,56,24.48,3769.92
1200,Automated Content Marketing Workflow: 6-Step Guide,json,json,trysight.ai,,,1.52,152.0,152,50,24.32,3720.96
149,Hume Health Hume Band Claims Evaluated: Does It Work or Just Another AI-Powered Fitness Activity Tracker,json,json,globenewswire,,,1.47,147.0,147,104,23.52,3480.96
944,Zinc7 Claims Evaluated: The Most Potent Zinc Supplement on the Market by True Cellular Formulas,json,json,globenewswire,,,1.43,143.0,143,95,22.88,3294.72
435,Ray Dalio says we're in a world war — and it's only just beginning,json,json,business insider,,,1.42,142.0,142,66,22.72,3248.96
690,Gen Z workers are so fearful AI will take their job they’re intentionally sabotaging their company’s AI rollout,json,json,fortune,,,1.41,141.0,141,111,22.56,3203.52
141,Soil Health: How Deep It Goes & How to Improve It | growᴬᴳ,json,json,growag.com,,,1.35,135.0,135,58,21.6,2937.6
443,India no longer interested in hosting COP33 climate event in 2028,json,json,the indian express,,,1.35,135.0,135,65,21.6,2937.6
123,Untitled record,word_run,word_run,unknown,,,1.28,128.0,128,15,20.48,2641.92
163,Untitled record,word_run,word_run,unknown,,,1.28,128.0,128,15,20.48,2641.92
204,Untitled record,word_run,word_run,unknown,,,1.28,128.0,128,15,20.48,2641.92
460,Untitled record,word_run,word_run,unknown,,,1.28,128.0,128,15,20.48,2641.92
716,Untitled record,word_run,word_run,unknown,,,1.28,128.0,128,15,20.48,2641.92
972,Untitled record,word_run,word_run,unknown,,,1.28,128.0,128,15,20.48,2641.92
1228,Untitled record,word_run,word_run,unknown,,,1.28,128.0,128,15,20.48,2641.92
1212,"China’s First Purpose-Built Robotaxi Customized for CaoCao Debuts at Auto China 2026, with Mass Production Planned for 2027",json,json,globenewswire,,,1.27,127.0,127,123,20.32,2600.96
8,"17 stocks including Tata Steel, SBI, Varun Beverages, Shree Cement, Wipro, Ceigall, NHPC, Paisalo, Strides Pharma will remain in focus on Wednesday",news_api,news_api,businessline,,,1.25,125.0,125,147,20.0,2520.0
436,Amazon Deals of the Day: Put a Samsung Galaxy Watch 8 on Your Wrist for $60 Off,json,json,cnet,,,1.24,124.0,124,79,19.84,2480.0
1207,"On air pollution, we need to get the scientific plumbing right: Santosh Harish, Coefficient Giving",json,json,the indian express,,,1.2,120.0,120,98,19.2,2323.2
952,"In the face of rampant AI, is ‘data poisoning’ a new form of civil disobedience?",json,json,the conversation africa,,,1.1,110.0,110,80,17.6,1953.6
186,I didn’t realize how much of Amazon's Fallout set was actually real,json,json,makeuseof,,,1.08,108.0,108,67,17.28,1883.52
14,Your next Galaxy may lose a key Samsung feature to cut costs,news_api,news_api,phonearena,,,1.07,107.0,107,60,17.12,1848.96
57,München Startup Round,technology,excel,dw,2026-03-23,2026.0,8.0,17.0,21,21,81.06,1783.32
945,"Big money wants a seat in deals, not just funds—and it’s reshaping India’s private markets",json,json,livemint,,,1.01,101.0,101,90,16.16,1648.32
958,"WATCH: Rock & Roll Hall of Fame's class of 2026 includes Phil Collins, Wu-Tang Clan and more",json,json,abcnews.com,,,0.96,96.0,96,92,15.36,1489.92
181,"RAKIA Achieves CMMC Level 1 Compliance, Expanding Access to U.S. Defense Contracts and Accelerating Federal Growth Strategy",json,json,globenewswire,,,0.92,92.0,92,123,14.72,1368.96
60,Weekend Match Buzz,sports,excel,espn,2026-03-24,2026.0,7.0,31.0,18,18,71.73,1362.87
1206,"Sorry AI, you’re just not human enough",json,json,livemint,,,0.89,89.0,89,38,14.24,1281.6
957,WATCH: Video captures moment hero principal takes down gunman at Oklahoma high school,json,json,abcnews.com,,,0.88,88.0,88,85,14.08,1253.12
56,Café Culture Trends,culture,excel,le monde,2026-03-22,2026.0,6.0,14.0,19,19,60.89,1217.8
53,AI Market Growth,business,excel,reuters,2026-03-21,2026.0,7.0,28.0,16,16,71.56,1216.52
58,Žurnal Election Pulse,politics,excel,žurnal,2026-03-23,2026.0,5.0,21.0,21,21,51.26,1127.72
59,Streaming Rights Watch,business,excel,financial times,2026-03-24,2026.0,4.0,26.0,22,22,41.52,954.96
13,NZ Dairy Industry Awards 2026: Olivia Sutton and Craig Dobbe win Auckland Hauraki share farmer title,news_api,news_api,new zealand herald,,,0.76,76.0,76,100,12.16,936.32
445,Readers Write: Chatbots Are Repeating a Familiar Healthcare Mistake,json,json,histalk2.com,,,0.76,76.0,76,67,12.16,936.32
54,Sports Highlights,sports,excel,cnn,2026-03-21,2026.0,5.0,19.0,17,17,51.12,920.16
