record_id,primary_category,analysis_year,document_type_mysql,metric,value
503,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
504,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
505,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
506,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
507,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
508,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
509,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
510,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
511,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
512,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
513,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
514,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
515,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
516,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
517,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
518,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
519,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
520,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
521,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
522,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
523,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
524,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
525,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
526,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
527,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
528,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
529,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
530,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
531,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
532,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
533,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
534,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
