record_id,title,document_type,category,rating_score,mentions,popularity,language,published_year
234,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
235,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
236,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
237,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
238,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
239,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
240,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
241,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
242,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
243,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
244,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
245,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
246,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
247,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
248,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
249,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
250,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
251,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
252,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
253,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
254,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
255,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
256,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
257,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
258,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
259,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
260,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
261,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
262,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
263,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
264,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
265,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
266,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
267,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
268,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
269,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
270,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
271,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
272,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
273,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
274,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
275,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
276,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
277,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
278,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
279,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
280,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
281,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
282,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
283,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
284,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
285,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
286,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
287,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
288,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
289,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
290,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
291,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
292,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
293,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
294,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
295,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
296,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
297,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
298,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
299,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
300,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
301,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
302,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
303,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
304,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
305,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
306,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
307,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
308,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
309,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
310,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
311,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
312,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
313,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
314,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
315,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
316,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
317,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
318,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
319,Untitled record,scraped_html_paginated,scraped_html_paginated,0.15,,15.0,unknown,
